BIANA ID	UniProt ID	genesymbol	description	geneid	Equivalent Entries
640937	P0CG23	ZNF853	Zinc finger protein 853	54753	KEGG::54753
641394	Q9BUG6	ZSCAN5A	Zinc finger and SCAN domain-containing protein 5A	79149	Q8N7B3; Q49A73; Q53F04; KEGG::79149
640931	Q8N446	ZNF843	Zinc finger protein 843	283933	A8K4U8; KEGG::283933
104286	O95389	WISP3	WNT1-inducible-signaling pathway protein 3	8838	Q6UXH6; I6L968; Q5H8W4; Q3KR29; KEGG::8838
91415	O43829	ZFP161	Zinc finger protein 161 homolog	7541	O43829,B2; Q2TB80; O00403; B2R850; KEGG::7541
555693	H3BS89	TMEM178B	Transmembrane protein 178B	100507421	KEGG::100507421
555696	Q6ZVK1	TMEM179	Transmembrane protein 179	388021	KEGG::388021
57615	Q5JTW2	CEP78	Centrosomal protein of 78 kDa	84131	A1A4S8; Q9H9N3; Q5BJE3; E9PHX5; Q5JTW1; Q5JTW0; KEGG::84131
533408	Q92959	SLCO2A1	Solute carrier organic anion transporter family member 2A1	6578	Q86V98; Q8IUN2; KEGG::6578
533404	Q9NYB5	SLCO1C1	Solute carrier organic anion transporter family member 1C1	53919	Q5JPA4; B7Z3Q3; F5GZD6; B7Z8P1,Q9; B7Z8P1; B7Z251; KEGG::53919
533403	G3V0H7	SLCO1B7	Putative solute carrier organic anion transporter family member 1B7	338821	Q71QF0; KEGG::338821
555699	Q7Z7N9	TMEM179B	Transmembrane protein 179B	374395	KEGG::374395
99838	Q14686	NCOA6	Nuclear receptor coactivator 6	23054	B2RMN5; A6NLF1; Q9UK86; E1P5P7; Q9UH74; F6M2K2; Q9NTZ9; KEGG::23054
359920	P56278	MTCP1	Protein p13 MTCP-1	4515	Q5HYP2; KEGG::4515
95561	P14174	MIF	Macrophage migration inhibitory factor	4282	Q2V4Y5; B2R4S3; A5Z1R8; Q6FHV0; I4AY87; KEGG::4282
143969	A6NIR3	AGAP5	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5	729092	A8MSN5; KEGG::729092
143968	Q96P64	AGAP4	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4	119016	KEGG::119016
2723143	Q16570	DARC	-	-	Q4VBN9; Q5Y7A1; Q5Y7A2
2723144	P48546	GIPR	-	-	Q4VBP1
566541	O94886	TMEM63A	Transmembrane protein 63A	9725	Q8N2U2; Q5TE96; Q53GI7; KEGG::9725
566544	Q5T3F8	TMEM63B	Transmembrane protein 63B	55362	Q6AHX4; Q8NDE1; Q6P5A0; Q5T3F9; Q9NSG5; Q8N219; B9EGU3; KEGG::55362
566546	Q9P1W3	TMEM63C	Transmembrane protein 63C	57156	Q9P1W1; B3KWJ5; B2RN22; Q86TS4; Q86TS3; Q9NSQ4; KEGG::57156
566549	Q9BZW5	TM6SF1	Transmembrane 6 superfamily member 1	53346	H3BU56; Q4U0U5; A8K7T5; KEGG::53346
138994	P45954	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	36	Q5SQN6; Q96CX7; KEGG::36
107716	O14788	hRANKL 3; TNFSF11	Tumor necrosis factor ligand superfamily member 11; Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form	8600	O14788,Q5; Q96Q17; O14723; Q9P2Q3; Q5T9Y4; Q54A98; KEGG::8600
107710	Q9UKL6	PCTP	Phosphatidylcholine transfer protein	58488	Q549N3; Q9UIT3; Q9UKW7; Q9BSC9; KEGG::58488
107711	Q9Y5M8	SRPRB	Signal recognition particle receptor subunit beta	58477	Q6P595; Q9Y5M8,Q5; Q8N2D8; Q549N5; KEGG::58477
107712	Q549U1; Q13595	HSU53209; TRA2A	Transformer-2 protein homolog alpha	29896	Q13595,Q5; KEGG::29896
528313	Q9P0V9	SEPT10	Septin-10	151011	Q86VP5; Q9HAH6; B3KRQ9; KEGG::151011
56583	A6NC98	CCDC88B	Coiled-coil domain-containing protein 88B	283234	A5D8Y5; Q8NF44; Q9H0H1; B2RTU8; Q8N1Q6; B5MDM2; A6NC98,B2; Q05BL2; Q6RUV3; KEGG::283234
347393	Q96A72	MAGOHB	Protein mago nashi homolog 2	55110	KEGG::55110
56582	Q96AQ1	CCDC74A; CCDC74AV2; CCDC74AV3	Coiled-coil domain-containing protein 74A	90557	F1SW65; Q6P4I5; F1SW66; KEGG::90557
339180	Q13021	MALL	MAL-like protein	7851	B3KWR6; Q9BTU0; KEGG::7851
90530	P17706	PTPN2	Tyrosine-protein phosphatase non-receptor type 2	5771	Q96AU5,P1; A8K955; A8MXU3; Q96AU5; Q96HR2; Q59F91; K7ENG3; A8K3N4; KEGG::5771
183379	Q8N300	CCDC23	Coiled-coil domain-containing protein 23	374969	D3DPW7; A8K5P1; KEGG::374969
137468	Q9BUJ0	ABHD14A	Alpha/beta hydrolase domain-containing protein 14A	25864	Q6UXU8; Q9Y3T7; KEGG::25864
403082	Q96FX8	PERP	p53 apoptosis effector related to PMP-22	64065	Q8NC16; Q8N1J6; Q8IWS3; Q9H1C5; E1P590; Q9H230; KEGG::64065
403081	A6NN79	-	Putative PERP-like protein	-	-
640783	Q5HYK9	ZNF667	Zinc finger protein 667	63934	Q6B093; B2RMS6; Q9H807; B9EK36; KEGG::63934
90542	P52564	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6	5608	P52564,A8; A8K3Y2; KEGG::5608
403088	Q6Y7W6	GIGYF2	PERQ amino acid-rich with GYF domain-containing protein 2	26058	Q7Z2Z8; Q6Y7W6,A6; O75137; Q9NV82; E9PBB0; A6H8W4; Q7Z3I2; Q96HU4; KEGG::26058
640789	Q9BS34	ZNF670	Zinc finger protein 670	93474	KEGG::93474
246846	P0C7U9	FAM87A	Protein FAM87A	-	-
440941	A6NDE4	RBMY1B	RNA-binding motif protein, Y chromosome, family 1 member B	378948	A6NCZ8; A6NE80; A8MSJ6; KEGG::378948
440946	Q15415	RBMY1F; RBMY1J	RNA-binding motif protein, Y chromosome, family 1 member F/J	159163; 378951	B2R916; KEGG::378951; KEGG::159163
440945	A6NEQ0	RBMY1E	RNA-binding motif protein, Y chromosome, family 1 member E	378950	A6NEG9; A6NKQ5; A6NCW6; KEGG::378950
440944	P0C7P1	RBMY1D	RNA-binding motif protein, Y chromosome, family 1 member D	378949	KEGG::378949
228685	Q9NR33	POLE4	DNA polymerase epsilon subunit 4	56655	Q53TR2; KEGG::56655
361708	P48039	MTNR1A	Melatonin receptor type 1A	4543	A0AVC5; B0M0L2; KEGG::4543
234087	Q05639	EEF1A2	Elongation factor 1-alpha 2	1917	B5BUF3; Q0VGC7; P54266; E1P5J1; KEGG::1917
63746	O43927	CXCL13	C-X-C motif chemokine 13	10563	Q53X90; O43927,Q5; KEGG::10563
91201	O75334	PPFIA2; PPFIA2 variant protein	Liprin-alpha-2	8499	Q4LE62; B7Z663; E7ERB8; E7ETG6; B7ZKZ5; B3KVT5; B3KXA0; F8VP68; B7Z3U9; Q2M3G8; B7Z2A6; KEGG::8499
91206	O75335	PPFIA4	Liprin-alpha-4	8497	O94971; O75335,B3; A2RUJ5; B1APN8; B3KN22; KEGG::8497
2734116	Q8N4N7	ABCC9	-	-	-
579635	P14679	TYR	Tyrosinase	7299	Q8TAK4; Q9BZX1; Q15680; Q9BYY0; Q15675; Q15676; KEGG::7299
337312	P06319	-	Ig lambda chain V-VI region EB4	-	-
337473	O95372	LYPLA2	Acyl-protein thioesterase 2	11313	Q7Z4Z2; KEGG::11313
384183	Q9H093	NUAK2	NUAK family SNF1-like kinase 2	81788	KEGG::81788
392720	Q99650	OSMR	Oncostatin-M-specific receptor subunit beta	9180	Q96QJ6; Q6P4E8; KEGG::9180
558631	O95759	TBC1D8	TBC1 domain family member 8	11138	A8K9W1; A6NDL4; Q53SQ4; B9A6K4; Q9UQ32; KEGG::11138
247675	P12104	FABP2	Fatty acid-binding protein, intestinal	2169	Q2NKJ1; KEGG::2169
382705	P35658	NUP214	Nuclear pore complex protein Nup214	8021	Q5JUP7; Q15010; Q86XD3; Q75R47; Q3KQZ0; A6NFQ0; KEGG::8021
51607	P18847	ATF3	Cyclic AMP-dependent transcription factor ATF-3	467	Q5VTZ2; Q8WYM6; Q7Z566; Q6ICQ9; P18847,Q6; KEGG::467
378817	A6NFF2	NAP1L6	Putative nucleosome assembly protein 1-like 6	-	-
378813	Q96NT1	NAP1L5	Nucleosome assembly protein 1-like 5	266812	KEGG::266812
378810	Q99733	NAP1L4	Nucleosome assembly protein 1-like 4	4676	KEGG::4676
546032	O95926	SYF2	Pre-mRNA-splicing factor SYF2	25949	Q5TH73; KEGG::25949
177453	O14569	CYB561D2	Cytochrome b561 domain-containing protein 2	11068	A8K552; KEGG::11068
523456	O00422	SAP18	Histone deacetylase complex subunit SAP18	10284	Q2TTR4; Q8N606; Q6IAW9; B2R494; Q9UF14; KEGG::10284
398775	Q5JVF3	PCID2	PCI domain-containing protein 2	55795	Q9NWH3; Q5TC57; Q3ZCX1; Q9H7K1; Q5TC58; Q5JVF3,A8; Q9NW44; Q9NVY1; A6NK09; A8K097; Q9NUK6; Q9HBZ7; KEGG::55795
83513	Q68CP4	HGSNAT	Heparan-alpha-glucosaminide N-acetyltransferase	138050	B4E2V0; Q8IVU6; KEGG::138050
329697	O43766	LIAS	Lipoyl synthase, mitochondrial	11019	Q8IV62; A8K873; KEGG::11019
86198	O60841; Q8N5A0	EIF5B	Eukaryotic translation initiation factor 5B	9669	O60841,Q8; Q9UMN7; Q9UF81; O95805; Q53SI8; Q53RV7; KEGG::9669
186475	P49450	CENPA	Histone H3-like centromeric protein A	1058	D6W544; Q53T74; Q9BVW2; KEGG::1058
172206	Q02338	BDH1	D-beta-hydroxybutyrate dehydrogenase, mitochondrial	622	D3DXC0; Q9BRZ4; Q96ET1; KEGG::622
524107	Q96IW7	SEC22A	Vesicle-trafficking protein SEC22a	26984	Q9Y682; B2RE26; KEGG::26984
355497	P0DKB6	MPC1L	Mitochondrial pyruvate carrier 1-like protein	347411	KEGG::347411
377174	P52952	NKX2-5	Homeobox protein Nkx-2.5	1482	A8K3K0; E9PBU6; P52952,B4; B4DNB6; KEGG::1482
108858	Q9Y462	ZNF711	Zinc finger protein 711	7552	B4DSV4; Q6NX42; Q6PK66; Q9Y4J6; KEGG::7552
89970	Q68EA5	LOC126295; ZNF57	Zinc finger protein 57	126295	Q8N6R9; A5HJR3; KEGG::126295
540068	Q8N2I9	STK40	Serine/threonine-protein kinase 40	83931	Q9BSA3; Q96I44; Q8N3I6; Q96HN6; Q9H7H6; Q5VTK9; Q5VTK8; D3DPS8; Q8N2J8; Q6ZMN1; KEGG::83931
87111	Q6DN90	IQSEC1	IQ motif and SEC7 domain-containing protein 1	9922	E9PG60; B4DGC5; Q96D85; O94863; KEGG::9922
87115	Q13576	IQGAP2	Ras GTPase-activating-like protein IQGAP2	10788	B7Z8A4; Q13576,Q5; Q59HA3; A8K4V1; KEGG::10788
314512	Q8IV33	KIAA0825	Uncharacterized protein KIAA0825	285600	Q6ZNN2; O94914; KEGG::285600
314516	Q7Z7F0	KIAA0907	UPF0469 protein KIAA0907	22889	Q7L7Q2; Q7Z7E9; Q8TBQ0; O94981; KEGG::22889
178467	Q8NFZ8	CADM4	Cell adhesion molecule 4	199731	B2R7L5; Q9Y4A4; KEGG::199731
196090	P02452	COL1A1	Collagen alpha-1(I) chain	1277	Q8N473; Q15201; O76045; Q14992; Q16050; Q9UMM7; Q9UML6; Q7KZ30; Q14037; P78441; Q7KZ34; Q13902; Q13903; Q13896; Q8IVI5; Q59F64; Q15176; KEGG::1277
76215	O75955	FLOT1	Flotillin-1	10211	O75955,Q5; Q969J8; Q5ST80; Q9UNV8; Q9UHW1; KEGG::10211
76211	P21333; Q60FE5	FLNA	Filamin-A	2316	E9KL45; P21333,Q6; Q5HY55; Q5HY53; Q8NF52; Q6NXF2; KEGG::2316
177436	Q99643	SDHC	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	6391	Q3C2D8; O75609; Q3C259; Q5VTH3; Q3C2H4; KEGG::6391
76213	Q14315	FLNC	Filamin-C	2318	Q07985; Q9UMR8; Q9Y503; Q14315,Q5; O95303; Q59H94; Q9NYE5; Q9NS12; B2ZZ88; KEGG::2318
76219	Q14254	FLOT2	Flotillin-2	2319	Q9BTI6; Q6FG43; Q14254,Q9; KEGG::2319
374692	Q9Y6K9	IKBKG	NF-kappa-B essential modulator	8517	A6NG82,Q9; Q7Z7F1; Q7LBY6; KEGG::8517
80735	O15488	GYG2	Glycogenin-2	8908	O15490; O15485; O15487; O15486; B7WNN6; Q1ZYL7; O15489; B3KUV6; KEGG::8908
150376	P55056	APOC4	Apolipoprotein C-IV	346	B3KWY6; Q53YY8; KEGG::346
65070	Q05329	GAD2	Glutamate decarboxylase 2	2572	Q9UD87; Q5VZ30; Q05329,Q5; KEGG::2572
2738219	Q9HC74	SEPT9	-	-	-
558901	O95947	TBX6	T-box transcription factor TBX6	6911	Q8TAS4; KEGG::6911
556199	C9J1S8	TRIM49L1	Tripartite motif-containing protein 49-like protein 1	399939; 729384; 100131392	KEGG::100131392; KEGG::729384; KEGG::399939
489092	P60602	ROMO1	Reactive oxygen species modulator 1	140823	E1P5R9; Q3MHD5; Q9H1N2; A7M872; E9KL28; Q5QP16; Q9CQ98; KEGG::140823
529977	Q9HBY8	SGK2	Serine/threonine-protein kinase Sgk2	10110	Q5H8Y6; Q52PK5; Q5TZR3; Q9UKG6; Q5H8Z1; KEGG::10110
279713	Q12849	GRSF1	G-rich sequence factor 1	2926	Q6ZST3; Q8IWD6; Q4W5S5; Q8NBD2; B3KPW0; KEGG::2926
107762	P17010	ZFX	Zinc finger X-chromosomal protein	7543	O43668; Q8WYJ8; Q59EB9; Q8WXB7; KEGG::7543
392828	Q86UW1	SLC51A	Organic solute transporter subunit alpha	200931	Q6ZMC7; KEGG::200931
90808	O60224	SSX4; SSX4B	Protein SSX4	6759; 548313	Q9UJU9; Q5JQZ0; B2RPE3; A8MYD4; O60224,A8; KEGG::6759; KEGG::548313
90809	O75888	TNFSF13	Tumor necrosis factor ligand superfamily member 13	8741	Q96HV6; Q2QBA2; Q5U0G8; Q9P1M9; B4DVT2; Q9P1M8; B3KR02,O7; Q541E1; A8MYD5; B3KR02; KEGG::8741
636360	Q8NAQ8	-	Putative uncharacterized protein FLJ34945	-	-
71450	Q86YF9	DZIP1	Zinc finger protein DZIP1	22873	B3KSP1; Q5W078; Q5W079; Q9UGA5; Q9Y2K0; Q8WY45; Q8WY46; KEGG::22873
186109	P17676	CEBPB	CCAAT/enhancer-binding protein beta	1051	A8K671; Q96IH2; Q9H4Z5; KEGG::1051
570495	Q7Z4G4	TRMT11	tRNA (guanine(10)-N2)-methyltransferase homolog	60487	Q5JY11; Q9HC13; E1P570; Q6PGQ5; KEGG::60487
191798	Q8N5U0	C11orf42	Uncharacterized protein C11orf42	160298	KEGG::160298
60799	O75131	CPNE3	Copine-3	8895	Q8IYA1; A8KA47; O75131,Q0; Q05DL8; KEGG::8895
359387	Q9P289	MST4	Serine/threonine-protein kinase MST4	51765	Q9BXC3; Q9BXC4; B2RAU2; Q9BXC3,Q8; Q3ZB77; Q8NC04; KEGG::51765
48107	O95081	AGFG2; HRBL	Arf-GAP domain and FG repeat-containing protein 2	3268	Q96GL4; Q96AB9; O75429; O95081,A4; A4D2D6; KEGG::3268
569750	O14545	TRAFD1	TRAF-type zinc finger domain-containing protein 1	10906	A8K5L6; KEGG::10906
260091	Q9BQS8	FYCO1	FYVE and coiled-coil domain-containing protein 1	79443	Q86T41; Q86TB1; Q9H8P9; Q8TEF9; Q3MJE6; Q96IV5; KEGG::79443
278262	Q13588	GRAP	GRB2-related adapter protein	10750	KEGG::10750
278260	Q8TC17	GRAPL	GRB2-related adapter protein-like	400581	B2RXI8; KEGG::400581
91745	Q9Y2L8	ZKSCAN5	Zinc finger protein with KRAB and SCAN domains 5	23660	B3KNK8; D6W5S9; A4D280; KEGG::23660
2732400	Q7Z2D9	TM4SF2	-	-	-
560253	O43247	TEX33	Testis-expressed sequence 33 protein	339669	B1AH46; Q9Y4V8; Q6ICF2; Q8IVQ2; KEGG::339669
560257	Q5VZQ5	TEX36	Testis-expressed sequence 36 protein	387718	Q0P5T8; KEGG::387718
415091	P50336	PPOX	Protoporphyrinogen oxidase	5498	Q5VTW8; D3DVG0; KEGG::5498
560259	Q96LM6	TEX37	Testis-expressed sequence 37 protein	200523	KEGG::200523
53574	P54687	BCAT1	Branched-chain-amino-acid aminotransferase, cytosolic	586	B3KY27,P5; B7Z5L0; B3KY27; Q68DQ7; Q96MY9; B7Z2M5; F5H5E4; KEGG::586
2738029	Q9H9J5	-	-	-	-
90512	Q16799	RTN1	Reticulon-1	6252	A8K3B9; Q16800; Q16801; Q16799,Q9; Q9BQ59; Q5BKZ4; KEGG::6252
251844	P02771	AFP	Alpha-fetoprotein	174	B2RBU3; KEGG::174
149470	P53677	AP3M2	AP-3 complex subunit mu-2	10947	B2RCR0; D3DSY2; KEGG::10947
149477	Q92572	AP3S1	AP-3 complex subunit sigma-1	1176	Q53XL4; O00647; O00676; O00721; O00727; Q6ICQ2; KEGG::1176
160059	P26436	ACRV1	Acrosomal protein SP-10	56	Q53FF4; KEGG::56
149479	P59780	AP3S2	AP-3 complex subunit sigma-2	10239	O09149; O09077; Q99589; KEGG::10239
171415	Q13145	BAMBI	BMP and activin membrane-bound inhibitor homolog	25805	KEGG::25805
2731177	Q6ZQS4	-	-	-	-
2730808	Q6XYD2	-	-	-	-
294824	P30519	HMOX2	Heme oxygenase 2	3163	D3DUD5; A8MT35; O60605; KEGG::3163
91990	Q7L9L4	MOB1B; MOBKL1A	MOB kinase activator 1B	92597	B2R8U6; B4DRY3; Q8IY23; B3KSH6; KEGG::92597
91992	Q8TB37	NUBPL	Iron-sulfur protein NUBPL	80224	Q9H9M2; B3KSK2; Q86TZ4; C9J751; B4DWB0; B4DHZ1; KEGG::80224
91995	Q96HF1	SFRP2	Secreted frizzled-related protein 2	6423	O14778; B3KQR2; Q96HF1,B3; B3KSM5; Q9HAP5; KEGG::6423
91994	Q8TAM2	TTC8	Tetratricopeptide repeat protein 8	123016	Q8TAM2,A6; Q67B97; Q8NDH9; Q86SY0; Q96DG8; Q86TV9; B3KWA5; Q86U25; Q86U26; A6NFG2; B3KSL8; KEGG::123016
55139	P54284	CACNB3	Voltage-dependent L-type calcium channel subunit beta-3	784	B7Z973; F8VSG3; F5GZW7; F5H2P6; B7ZAK8; A8K0Z4; Q13913; KEGG::784
91996	Q9BRI3	SLC30A2	Zinc transporter 2	7780	B3KSN7; Q71RC8; KEGG::7780
91999	O96011	PEX11B	Peroxisomal membrane protein 11B	8799; 101060567	Q96ET2; B3KN85; B4DXH9; B3KSS3; KEGG::8799; KEGG::101060567
91998	Q5T5D7	ZNF684	Zinc finger protein 684	127396	B3KSP5; Q2NKY4; KEGG::127396
296846	Q9NWW9	HRASLS2	HRAS-like suppressor 2	54979	B9A7L8; KEGG::54979
599047	P13010	XRCC5	X-ray repair cross-complementing protein 5	7520	Q0Z7V0; Q4VBQ5; Q53HH7; Q9UCQ1; Q9UCQ0; Q7M4N0; A8K3X5; KEGG::7520
343818	Q15528	MED22	Mediator of RNA polymerase II transcription subunit 22	6837	B3KWX4; Q5T8U0; B3KW83; O76072; KEGG::6837
2721322	Q2Q440	-	-	-	-
408220	Q16512	PKN1	Serine/threonine-protein kinase N1	5585	Q8IUV5; Q9UD44; B3KVN3; A8K7W5; Q15143; B2R9R4; Q504U4; KEGG::5585
90510	O95185	UNC5C	Netrin receptor UNC5C	8633	A8K385; Q8IUT0; KEGG::8633
2733720	Q8IX62	-	-	-	-
377090	P25103	TACR1	Substance-P receptor	6869	A8K150; KEGG::6869
377098	P21452	TACR2	Substance-K receptor	6865	Q4QRI5; Q9UDE6; Q9UDE7; A8K7I1; Q8NGQ8; KEGG::6865
376323	Q9BZQ8	FAM129A	Protein Niban	116496	Q9H593; Q8TEI5; Q9H9Y8; Q2TTR2; Q5TEM8; Q9HCB9; KEGG::116496
376326	Q96TA1	FAM129B	Niban-like protein 1	64855	Q9BUS2; Q9NT35; Q4LE55; Q5VVW7; Q5VVW6; KEGG::64855
536642	Q7Z6I5	SPATA12	Spermatogenesis-associated protein 12	353324	B2RMW1; A0AVA8; KEGG::353324
376329	Q86XR2	FAM129C	Niban-like protein 2	199786	Q8TEQ3; Q86XR3; Q7Z6H6; Q86XR4; KEGG::199786
104744	Q9BZ23	PANK2	Pantothenate kinase 2, mitochondrial	80025	Q5T7I4; Q8TCR5; Q9BYW5; Q7RTX5; Q5T7I2; B2Z3X0; B1AK33; Q8N7Q4; D3DVZ0; Q6P1K9; Q9HAF2; KEGG::80025
105296	Q9BQF6	SENP7	Sentrin-specific protease 7	57337	A8MW39; J3QT09; Q7Z3F4; B7WNW8; A1L3A5; Q96PS5; Q9C0F6; Q9HBT5; KEGG::57337
423652	Q9Y248	GINS2	DNA replication complex GINS protein PSF2	51659	Q6IAG9; D3DUM5; KEGG::51659
640986	P17039	ZNF30	Zinc finger protein 30	90075	A8K320; Q6N068; B4DIC0; A5PLP1; KEGG::90075
78558	Q8TEQ6; Q58EZ8	GEMIN5	Gem-associated protein 5	25929	Q14CV0; Q9UFI5; Q8WWV4; Q969W4; B7ZLC9; Q9H9K3; Q8TEQ6,Q5; KEGG::25929
105299	Q9Y570	PPME1	Protein phosphatase methylesterase 1	51400	Q9NVT5; B3KMU6; J3QT22; Q9UI18; B5MEE7; Q8WYG8; KEGG::51400
177970	Q8IZS8	CACNA2D3	Voltage-dependent calcium channel subunit alpha-2/delta-3; Voltage-dependent calcium channel subunit alpha-2-3; Voltage-dependent calcium channel subunit delta-3	55799	Q9NY18; Q9NY16; B2RPL6; KEGG::55799
141464	Q9H6R3	ACSS3	Acyl-CoA synthetase short-chain family member 3, mitochondrial	79611	Q8NC66; KEGG::79611
484138	Q8WVZ7	RNF133	E3 ubiquitin-protein ligase RNF133	168433	Q8N7G7; A4D0W2; KEGG::168433
141462	Q6P461	ACSM6	Acyl-coenzyme A synthetase ACSM6, mitochondrial	142827	A4IF38; Q5VZX2; A4FU95; Q6ZTX1; KEGG::142827
565997	Q8N9M5	TMEM102	Transmembrane protein 102	284114	D3DTP8; KEGG::284114
565993	Q96IK0	TMEM101	Transmembrane protein 101	84336	B2R9N6; KEGG::84336
64951	Q63HJ8; O43237	DKFZp686J08252; DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1783	A8K6V1; Q63HJ8,O4; Q8TAT3; KEGG::1783
64953	Q8TEB1	DCAF11	DDB1- and CUL4-associated factor 11	80344	Q9H3A3; Q59GN6; Q86U39; D3DS56; B3KQ83; Q8NDN2; Q9H5C9; Q5D039; Q86U00; Q9H2J0; Q8TEB1,Q5; B3KSW2; KEGG::80344
64957	Q8WV16; B4DN30	DCAF4	DDB1- and CUL4-associated factor 4	26094	Q8IV10; B4DUT6; Q96K22; B2RDD6; Q9Y4P5; Q86U31; G3V522; KEGG::26094
64956	Q5H9S7	DCAF17	DDB1- and CUL4-associated factor 17	80067	Q53TN3; F5H7W1; B2RTW5; Q9H908; KEGG::80067
222752	P21912	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	6390	B2R545; Q9NQ12; KEGG::6390
90644	Q9UNE2	RPH3AL	Rab effector Noc2	9501	Q9BSB3; A8K7D5; D3DTG7; KEGG::9501
528299	Q96HI0	SENP5	Sentrin-specific protease 5	205564	Q96SA5; KEGG::205564
523180	P23526	AHCY	Adenosylhomocysteinase	191	A8K307; E1P5P2; F5H737; B3KUN3; Q96A36; P23526,B3; KEGG::191
528293	Q9HC62	SENP2	Sentrin-specific protease 2	59343	Q9P2L5; Q8IW97; Q96SR2; KEGG::59343
528297	Q9H4L4	SENP3	Sentrin-specific protease 3	26168	Q66K15; Q9Y3W9; Q96PS4; Q86VS7; KEGG::26168
243809	Q16134	ETFDH	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	2110	Q7Z347; KEGG::2110
640754	Q7L945	ZNF627	Zinc finger protein 627	199692	Q4KMP9; Q6NT81; O14846; Q9BRG4; KEGG::199692
534642	Q6BEB4	SP5	Transcription factor Sp5	389058	KEGG::389058
232586	Q9Y463	DYRK1B	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	9149	O75788; O75789; O75258; KEGG::9149
534649	Q8TDD2	SP7	Transcription factor Sp7	121340	Q3MJ72; B3KY26; KEGG::121340
257002	Q12778	FOXO1	Forkhead box protein O1	2308	Q6NSK6; O43523; Q5VYC7; KEGG::2308
640757	Q9UEG4	ZNF629	Zinc finger protein 629	23361	Q15938; KEGG::23361
85396	Q12988	HSPB3	Heat shock protein beta-3	8988	Q6ICS9; Q12988,Q6; KEGG::8988
596445	O75083	WDR1	WD repeat-containing protein 1	9948	Q9UQE0; Q8N6E5; O75313; Q9UG78; Q9UG05; A8K6E9; A8MPU4; KEGG::9948
99241	O00482	NR5A2	Nuclear receptor subfamily 5 group A member 2	2494	O00482,Q9; O95642; F1D8R9; Q147U3; Q9UEC0; KEGG::2494
640420	Q9NZL3	ZNF224	Zinc finger protein 224	7767	A6NFW9; Q9UID9; Q86V10; P17033; Q8IZC8; Q9Y2P6; KEGG::7767
640421	Q9UK10	ZNF225	Zinc finger protein 225	7768	Q9UID8; Q9NS46; Q53F12; A8K8S2; KEGG::7768
640426	Q9UNY5	ZNF232	Zinc finger protein 232	7775	KEGG::7775
640427	A6NK53	ZNF233	Zinc finger protein 233	353355	Q86WL8; B2RN79; B2RN78; KEGG::353355
640424	Q9UJW7	ZNF229	Zinc finger protein 229	7772	Q86WL9; Q59FV2; B2RWN3; KEGG::7772
78104	P30793	GCH1	GTP cyclohydrolase 1	2643	Q9Y4I8; Q6FHY7; P30793,Q8; Q8IZH9; KEGG::2643
109650	Q96PU8; Q8WY44	QK3; QKI	Protein quaking	9444	Q96EJ3; Q2I375; Q9P0Y0; Q5MJQ1; Q9P0X6; Q9P0X9; Q96KA3; Q969L9; Q9P0X7; Q96PU8,Q8; Q9P0Y1; Q96PU7; Q96PU6; Q9P0X8; KEGG::9444
177866	Q3ZCV2	C1orf177	Uncharacterized protein C1orf177	163747	Q8N7Y9; B7WPL2; KEGG::163747
375007	Q96EH8	NEURL3	E3 ubiquitin-protein ligase NEURL3	-	-
47221	Q96GR2	ACSBG1	Long-chain-fatty-acid--CoA ligase ACSBG1	23205	Q9HC26; O75126; Q76N27; B7Z2Y6; B2RB61; B3KNS7; KEGG::23205
375005	Q9BR09	NEURL2	Neuralized-like protein 2	140825	Q3KR34; KEGG::140825
47223	P07108	DBI	Acyl-CoA-binding protein	1622	Q53SQ7; Q9UCI8; P08869; P07108,B8; Q4VWZ6; B8ZWD7; B8ZWD6; B8ZWD1; B8ZWD2; Q6IB48; KEGG::1622
183614	Q06432	CACNG1	Voltage-dependent calcium channel gamma-1 subunit	786	B2R9N3; Q14D59; KEGG::786
183618	Q9Y698	CACNG2	Voltage-dependent calcium channel gamma-2 subunit	10369	Q9UGZ7; Q2M1M1; Q5TGT3; KEGG::10369
204853	P67870	CSNK2B	Casein kinase II subunit beta	1460	Q4VX47; P07312; P67870,B0; B0UXA9; P13862; KEGG::1460
99240	Q13285	NR5A1	Steroidogenic factor 1	2516	F1D8R8; O15196; Q5T6F5; KEGG::2516
276062	Q8N158	GPC2	Glypican-2; Secreted glypican-2	221914	A4D2A7; KEGG::221914
48474	P31749	AKT1	RAC-alpha serine/threonine-protein kinase	207	P31749,B3; B3KVH4; Q9BWB6; B0LPE5; B2RAM5; KEGG::207
185076	P31358	CD52	CAMPATH-1 antigen	1043	Q5T138; Q9BW46; KEGG::1043
